mask_group,null_pct,n_columns,members,fraud_rate_if_null,fraud_rate_if_present,indicator_recommended
MG00,0.0,20,"TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14",,,NO
MG01,0.002,32,"V279-V280,V284-V287,V290-V295,V297-V299,V302-V312,V316-V321",16.666666666666664,3.49873333694592,NO
MG02,0.053,43,V95-V137,5.414012738853503,3.497982128879446,NO
MG03,0.215,12,"V281-V283,V288-V289,V296,V300-V301,V313-V315,D1",3.624901497241922,3.498729786464972,NO
MG04,0.265,1,card3,2.492012779552716,3.501676641623159,NO
MG05,0.266,1,card6,2.48249522597072,3.5017123142304603,NO
MG06,0.267,1,card4,2.599873176918199,3.5014084076588854,NO
MG07,0.721,1,card5,4.930734914299132,3.4886001763659404,NO
MG08,1.513,1,card2,4.735251315347588,3.480013136017964,NO
MG09,11.126,2,"addr1,addr2",11.781268072930937,2.462111829645183,YES
MG10,12.873,1,D10,5.111678198416248,3.260721685149985,YES
MG11,12.882,23,V12-V34,5.109565811786047,3.260850550181061,YES
MG12,13.055,22,V53-V74,5.8485524540832206,3.146204844150482,YES
MG13,15.09,1,D15,4.7984020288846745,3.2680729198866434,YES
MG14,15.099,20,V75-V94,4.795657440222511,3.26840534848098,YES
MG15,15.995,1,P_emaildomain,2.953756246294571,3.602817264818055,YES
MG16,28.605,1,D4,3.608766176104948,3.4550232675075545,YES
MG17,28.613,18,V35-V52,3.607762370612361,3.455408460259364,YES
MG18,28.679,1,M6,7.06837505904582,2.063725722968802,YES
MG19,44.515,1,D3,4.201188383965185,2.9356470997552355,YES
MG20,45.907,3,"M1,M2,M3",5.282552563629657,1.98534936138242,YES
MG21,47.293,12,"V1-V11,D11",5.212201069151088,1.9617481598570936,YES
MG22,47.549,1,D2,4.555960355701807,2.540816095924686,YES
MG23,47.659,1,M4,1.8572078282002813,4.993917747237105,YES
MG24,52.467,1,D5,3.157425905545102,3.876038033623205,YES
MG25,58.633,2,"M8,M9",4.576435659577418,1.9718528949436729,YES
MG26,58.635,1,M7,4.576263844165595,1.971957834407942,YES
MG27,59.349,1,M5,3.735997854383392,3.152988027893259,YES
MG28,59.652,1,dist1,4.515841497029276,1.9956435793158152,YES
MG29,75.576,2,"id_01,id_12",2.093850197285725,7.847025299342036,YES
MG30,76.053,16,"V220-V222,V227,V234,V238-V239,V245,V250-V251,V255-V256,V259,V270-V272",2.15552943062495,7.765740793121005,YES
MG31,76.126,5,"id_15,id_35,id_36,id_37,id_38",2.100076742556528,7.959712026102067,YES
MG32,76.127,3,"id_11,id_28,id_29",2.1009337977854,7.957269928641349,YES
MG33,76.145,1,id_02,2.099549000595996,7.966096882276109,YES
MG34,76.156,1,DeviceType,2.1017054677250795,7.961792486329096,YES
MG35,76.245,1,id_31,2.1081246751862266,7.963245462710826,YES
MG36,76.324,19,"V169-V171,V174-V175,V180,V184-V185,V188-V189,V194-V195,V197-V198,V200-V201,V208-V210",2.128367659816161,7.917378897002552,YES
MG37,76.355,31,"V167-V168,V172-V173,V176-V179,V181-V183,V186-V187,V190-V193,V196,V199,V202-V207,V211-V216",2.13435526902324,7.905837528915499,YES
MG38,76.4,1,id_17,2.131564307103072,7.925722362935804,YES
MG39,76.408,1,id_19,2.133096347252572,7.922881465424425,YES
MG40,76.418,1,id_20,2.1343780676698896,7.921097794788204,YES
MG41,76.752,1,R_emaildomain,2.081857875031164,8.177520740616647,YES
MG42,76.824,2,"id_05,id_06",2.133906430815011,8.023965221203376,YES
MG43,77.913,46,"V217-V219,V223-V226,V228-V233,V235-V237,V240-V244,V246-V249,V252-V254,V257-V258,V260-V269,V273-V278",2.2757601443133164,7.814153185616806,YES
MG44,78.098,1,id_16,2.279054640069384,7.849079944332766,YES
MG45,78.44,1,id_13,2.1749924441949826,8.316054037071945,YES
MG46,79.906,1,DeviceInfo,2.5549193216833306,7.253130635565368,YES
MG47,86.055,18,V322-V339,3.3406862407490125,4.475962647690982,YES
MG48,86.123,11,"V143-V145,V150-V152,V159-V160,V164-V166",3.344940610198018,4.455101219021122,YES
MG49,86.124,18,"V138-V142,V146-V149,V153-V158,V161-V163",3.34509776934496,4.454207090121424,YES
MG50,86.446,1,id_14,3.346549238387764,4.471290790065464,YES
MG51,86.825,1,id_34,3.350268657298604,4.479146584409743,YES
MG52,86.862,1,id_32,3.355466572051295,4.447967416802,YES
MG53,86.865,1,id_30,3.357083678541839,4.43756849094308,YES
MG54,87.312,4,"D8,D9,id_09,id_10",2.489459169068334,10.446307022929291,YES
MG55,87.589,1,id_33,3.344604457023766,4.588683158454884,YES
MG56,87.607,1,D6,2.5021600338646923,10.545588697446268,YES
MG57,88.769,2,"id_03,id_04",2.585003128481389,10.72311682045715,YES
MG58,89.041,1,D12,2.484676402515676,11.74034643138588,YES
MG59,89.469,1,D14,2.5456465658376124,11.598887227233988,YES
MG60,89.509,1,D13,2.615647725638872,11.03596332644628,YES
MG61,92.361,1,id_18,3.103623399648349,8.279209983818411,YES
MG62,93.41,1,D7,2.6962255018373056,14.877816892360665,YES
MG63,93.628,1,dist2,3.0623262610935176,9.915751986605365,YES
MG64,99.125,3,"id_22,id_23,id_27",3.457123772786831,8.24143934997098,YES
MG65,99.126,1,id_26,3.4572591680233424,8.231648266511717,YES
MG66,99.126,1,id_21,3.4570647151171627,8.257414227563482,YES
MG67,99.127,2,"id_07,id_08",3.4570410926142623,8.263821532492726,YES
MG68,99.131,1,id_25,3.4584426587952333,8.125487139516757,YES
MG69,99.196,1,id_24,3.458730302342296,8.468506425110595,YES
