column,null_pct,top1,top1_share_nonnull,minority_n,minority_fraud_pct,majority_fraud_pct,lift
addr2,11.12642666034477,87.0,99.17059489286136,4353,10.222834826556399,2.397205661686017,2.9216447060749924
C3,0.0,0.0,99.58868154570392,2429,0.20584602717167558,3.5126022128475745,0.05882995918024452
M1,45.90713584177194,T,99.99217380415728,25,0.0,1.985504750872689,0.0
V1,47.29349409015477,1.0,99.99453820525424,17,0.0,1.961855312367464,0.0
V14,12.881938564703493,1.0,99.95004538677894,257,1.556420233463035,3.2617024173003246,0.44481858629980997
V27,12.881938564703493,0.0,99.92399901257028,391,0.0,3.263330713746605,0.0
V28,12.881938564703493,0.0,99.9234158847895,394,0.0,3.2633497577192347,0.0
V41,28.612625732380533,1.0,99.92693994605892,308,0.6493506493506493,3.457460066514268,0.185581780323135
V65,13.055169844549058,1.0,99.9663059652075,173,0.5780346820809248,3.1470704559579636,0.16519996629920686
V68,13.055169844549058,0.0,99.94819298696645,266,0.0,3.1478356437727264,0.0
V88,15.098723202492634,1.0,99.92460748021443,378,2.91005291005291,3.2686757232563806,0.8316813118184938
V89,15.098723202492634,0.0,99.91583163135051,422,0.0,3.271158629335228,0.0
V104,0.0531716733836827,0.0,95.47647850145538,26699,5.101314655979625,3.422018820748607,1.4579350260016075
V107,0.0531716733836827,1.0,99.9579821966501,248,1.2096774193548387,3.498944028421399,0.3457208972148724
V108,0.0531716733836827,1.0,99.49443094678988,2984,25.134048257372655,3.388041046110462,7.183208990389441
V109,0.0531716733836827,1.0,98.55580743647349,8524,11.027686532144534,3.3876452204049494,3.1516680572004954
V110,0.0531716733836827,1.0,99.20962478779316,4665,17.577706323687032,3.3858129212840335,5.023637131662484
V111,0.0531716733836827,1.0,99.70740021618838,1727,43.138390272148236,3.3816540045097785,12.328776871148396
V112,0.0531716733836827,1.0,99.49290610715218,2993,27.63113932509188,3.374980629494596,7.896867483592992
V113,0.0531716733836827,1.0,99.65132000284636,2058,37.07482993197279,3.380496728825778,10.595835933687566
V114,0.0531716733836827,1.0,99.06171534293644,5538,18.45431563741423,3.3563199518375617,5.27416851598006
V115,0.0531716733836827,1.0,96.93253092883064,18105,8.086164043082022,3.3527872600376494,2.3109928674141242
V116,0.0531716733836827,1.0,98.46939985700392,9034,13.139251715740535,3.348119038114771,3.7551448173022393
V117,0.0531716733836827,1.0,99.87682684259929,727,27.92297111416781,3.467859996369799,7.980271824569251
V118,0.0531716733836827,1.0,99.83260649310604,988,21.356275303643724,3.468038381774427,6.1035368115586515
V119,0.0531716733836827,1.0,99.86852493790514,776,26.675257731958762,3.467469675120875,7.6236804035320835
V120,0.0531716733836827,1.0,99.8292179605778,1008,10.615079365079366,3.4858066114748705,3.033746603337915
V121,0.0531716733836827,1.0,99.55406911928652,2632,6.5349544072948325,3.4843786696256256,1.8676634487838903
V122,0.0531716733836827,1.0,99.76619125555295,1380,9.492753623188406,3.483932980779355,2.7129904610426996
V123,0.0531716733836827,1.0,97.3715153178613,15514,13.787546731984015,3.2202216066481992,3.9404249019674236
V125,0.0531716733836827,1.0,95.8234642323449,24651,9.902235203440023,3.218848074967953,2.8300186348785434
V135,0.0531716733836827,0.0,95.47647850145538,26699,5.101314655979625,3.422018820748607,1.4579350260016075
V240,77.91343516103905,1.0,99.92333052211914,100,17.0,7.807105041049643,4.858531008859674
V241,77.91343516103905,1.0,99.97239898796288,36,16.666666666666664,7.811709127720601,4.763265694960464
V281,0.2148880685474311,0.0,95.23648711713288,28070,9.173494834342714,3.2148909214345665,2.621747594839301
V286,0.0020320384732617,0.0,97.08091741627833,17238,3.9621765866109757,3.484798269636659,1.1323739887427766
V297,0.0020320384732617,0.0,95.29438062208736,27788,4.627896933928315,3.442975441589366,1.3226341623116076
V300,0.2148880685474311,0.0,96.64857086128454,19749,6.035748645501037,3.4107549840041296,1.724992467991151
V301,0.2148880685474311,0.0,96.2899922107146,21862,6.577623273259538,3.3801014788274424,1.879858037513443
V305,0.0020320384732617,1.0,99.99932264007803,4,0.0,3.498757036123849,0.0
V311,0.0020320384732617,0.0,97.08091741627833,17238,3.9621765866109757,3.484798269636659,1.1323739887427766
V319,0.0020320384732617,0.0,95.29438062208736,27788,4.627896933928315,3.442975441589366,1.3226341623116076
id_27,99.1246994276425,Found,99.72915457535306,14,0.0,8.263821532492726,0.0
