column,representative_at_r>=0.98,abs_corr,mask_hash,null_pct
V1,V1,1.0,0ed67c9798,47.29349409015477
V2,V2,1.0,0ed67c9798,47.29349409015477
V3,V3,1.0,0ed67c9798,47.29349409015477
V4,V4,1.0,0ed67c9798,47.29349409015477
V5,V5,1.0,0ed67c9798,47.29349409015477
V6,V6,1.0,0ed67c9798,47.29349409015477
V7,V7,1.0,0ed67c9798,47.29349409015477
V8,V8,1.0,0ed67c9798,47.29349409015477
V9,V9,1.0,0ed67c9798,47.29349409015477
V10,V10,1.0,0ed67c9798,47.29349409015477
V11,V11,1.0,0ed67c9798,47.29349409015477
V12,V12,1.0,72c451df7f,12.881938564703493
V13,V13,1.0,72c451df7f,12.881938564703493
V14,V14,1.0,72c451df7f,12.881938564703493
V15,V15,1.0,72c451df7f,12.881938564703493
V16,V15,0.9929547646090998,72c451df7f,12.881938564703493
V17,V17,1.0,72c451df7f,12.881938564703493
V18,V17,0.9931936139530739,72c451df7f,12.881938564703493
V19,V19,1.0,72c451df7f,12.881938564703493
V20,V20,1.0,72c451df7f,12.881938564703493
V21,V21,1.0,72c451df7f,12.881938564703493
V22,V22,1.0,72c451df7f,12.881938564703493
V23,V23,1.0,72c451df7f,12.881938564703493
V24,V24,1.0,72c451df7f,12.881938564703493
V25,V25,1.0,72c451df7f,12.881938564703493
V26,V26,1.0,72c451df7f,12.881938564703493
V27,V27,1.0,72c451df7f,12.881938564703493
V28,V28,1.0,72c451df7f,12.881938564703493
V29,V29,1.0,72c451df7f,12.881938564703493
V30,V30,1.0,72c451df7f,12.881938564703493
V31,V31,1.0,72c451df7f,12.881938564703493
V32,V31,0.9910344234449713,72c451df7f,12.881938564703493
V33,V33,1.0,72c451df7f,12.881938564703493
V34,V34,1.0,72c451df7f,12.881938564703493
V35,V35,1.0,16aced571a,28.612625732380533
V36,V36,1.0,16aced571a,28.612625732380533
V37,V37,1.0,16aced571a,28.612625732380533
V38,V38,1.0,16aced571a,28.612625732380533
V39,V39,1.0,16aced571a,28.612625732380533
V40,V40,1.0,16aced571a,28.612625732380533
V41,V41,1.0,16aced571a,28.612625732380533
V42,V42,1.0,16aced571a,28.612625732380533
V43,V43,1.0,16aced571a,28.612625732380533
V44,V44,1.0,16aced571a,28.612625732380533
V45,V45,1.0,16aced571a,28.612625732380533
V46,V46,1.0,16aced571a,28.612625732380533
V47,V47,1.0,16aced571a,28.612625732380533
V48,V48,1.0,16aced571a,28.612625732380533
V49,V49,1.0,16aced571a,28.612625732380533
