dataset,column,family,data_type,null_count,null_pct,exact_unique_nonnull,min,max,mean,median,std,top1_value,top1_share_of_nonnull,mask_group,fraud_rate_if_null,fraud_rate_if_present,auc_nonnull,treatment,treatment_reason,description,potential_feature_role,v_redundant_with_at_r098
ieee,TransactionID,core,int32,0,0.0,590540,2987000.0,3577539.0,3282269.5,3282269.5,170474.2139833764,2987003,0.0001693365394384,MG00,,,0.5222541859807152,EXCLUDE_IDENTIFIER,Primary key; join key only. Never a model feature.,Unique transaction key (join key to identity table),identifier,
ieee,isFraud,core,int32,0,0.0,2,0.0,1.0,0.0349900091441731,0.0,0.1837544785964788,0,96.50099908558268,MG00,,,1.0,TARGET,Label.,Target label (1 = fraud),target,
ieee,TransactionDT,core,int32,0,0.0,573349,86400.0,15811131.0,7372311.310116165,7306527.5,4617219.7372146575,9474817,0.0013546923155078,MG00,,,0.522254188273637,DERIVE_TIME_FEATURES,Seconds since an undisclosed reference; use for ordering/splits and derive hour/day features; do not feed raw to ML (monotone drift proxy).,Timedelta in seconds from an undisclosed reference datetime (not a real timestamp),time,
ieee,TransactionAmt,core,double,0,0.0,20902,0.251,31937.391,135.02717637247264,68.769,239.16231951887912,59.0,5.178650049107596,MG00,,,0.4975250536642422,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Transaction payment amount (USD per competition description),numeric-continuous; log1p; amount decimals,
ieee,ProductCD,core,string,0,0.0,5,,,,,,W,74.45219629491652,MG00,,,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Product code of the transaction (C/H/R/S/W),categorical-low-card,
ieee,card1,card,int32,0,0.0,13553,1000.0,18396.0,9898.734658109526,9678.0,4901.166003757176,7919,2.528533206895384,MG00,,,0.4789012843178676,3_KEEP_CATEGORICAL,High-cardinality: frequency encode / train-only target-encode; never one-hot,Payment-card attribute (masked; competition lists as categorical),categorical-high-card / entity proxy,
ieee,card2,card,double,8933,1.5126833068039425,500,100.0,600.0,362.5554884999665,361.0,157.79311065717755,321.0,8.413757055881376,MG08,4.735251315347588,3.480013136017964,0.5055329824691562,3_KEEP_CATEGORICAL,High-cardinality: frequency encode / train-only target-encode; never one-hot,Payment-card attribute (masked; categorical),categorical-high-card,
ieee,card3,card,double,1565,0.2650116842212212,114,100.0,231.0,153.19492508170975,150.0,11.336434366327849,150.0,88.507491829025,MG04,2.492012779552716,3.501676641623159,0.6321803938898874,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Payment-card attribute (masked; categorical),categorical-mid-card,
ieee,card4,card,string,1577,0.267043722694483,4,,,,,,visa,65.3295707879782,MG06,2.599873176918199,3.5014084076588854,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Card network (visa / mastercard / american express / discover),categorical-low-card,
ieee,card5,card,double,4259,0.7212043214684865,119,100.0,237.0,199.2788969794348,226.0,41.244417790361645,226.0,50.58086480714879,MG07,4.930734914299132,3.4886001763659404,0.4478358459503416,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Payment-card attribute (masked; categorical),categorical-mid-card,
